Aberdeen Station,233610,150.8920522,-32.16710358,10101192,02 6543 1018,"New England Hwy, Aberdeen",2004|2009,3001|3009|3011,1001
Adamstown Station,228920,151.7200807,-32.93372988,10101159,02 4962 9295,"Park Ave, Adamstown",2003|2004|2005|2006|2007,3001|3004|3008|3009|3011|3016,1001|1002
Albion Park Station,252710,150.7984997,-34.56264671,10101381,02 4223 5416,"Princes Hwy, Albion Park",2002|2003|2004|2005|2006|2015|2007|2008|2009,3001|3004|3008|3009|3011,1001|1002
Allawah Station,222020,151.11433,-33.96958391,10101338,02 9563 7415,"Railway Pde, Allawah",2002|2003|2004|2005|2006|2015|2007|2008|2009|2011|2013,3001|3003|3005|3006|3008|3009|3011,1001|1002
Arncliffe Station,220520,151.1472995,-33.93645619,10101333,02 9563 7431,"Firth St, Arncliffe",2002|2003|2004|2005|2006|2015|2007|2008,3003|3008|3009|3010|3011,1001|1002|1005
Artarmon Station,206410,151.1852939,-33.80890264,10101116,02 9379 1140,"Hampden Rd, Artarmon",2001|2002|2004|2005|2006|2015|2007|2008|2011|2013,3001|3003|3008|3009|3011,1001|1005
Ashfield Station,213110,151.1255042,-33.88755061,10101209,02 9752 8356,"Brown St, Ashfield",2002|2003|2004|2005|2006|2015|2007|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Asquith Station,207730,151.1080252,-33.68876996,10101128,02 9847 8495,"Haldane St, Asquith",2003|2004|2005|2006|2015|2007|2008|2009,3003|3006|3010|3011|3017,1001
Auburn Station,214410,151.032867,-33.8492696,10101219,02 9848 9206,"Rawson St, Auburn",2001|2002|2004|2005|2006|2015|2007|2008|2012|2013,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Austinmer Station,251540,150.9293128,-34.30641046,10101363,02 4223 5573,"Railway Ave, Austinmer",2002|2003|2004|2007|2008|2009,3009|3010|3011,1001|1002
Awaba Station,228310,151.5416347,-33.0129204,10101150,02 4349 9241,"Adelaide St, Awaba",2003|2004|2007,3008|3010|3011|3016,1001|1002
Banksia Station,221610,151.1404316,-33.94528645,10101334,02 9563 7429,"Hattersley St, Banksia",2002|2004|2006|2007|2008|2009,3003|3008|3009|3010|3011,1001|1002|1005
Bankstown Station,220010,151.0346869,-33.91786454,10101401,02 9563 7160,"North Tce, Bankstown",2001|2002|2003|2004|2005|2006|2015|2007|2008|2009|2010|2011|2013,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Bardwell Park Station,220710,151.1248574,-33.93161666,10101410,02 9563 7428,"Hartill-Law Ave, Bardwell Park",2003|2004|2005|2006|2015|2007|2008,3003|3008|3010|3011,1001|1002
Bargo Station,257420,150.5802091,-34.29136493,10101303,02 4684 1320,"Hume Hwy, Bargo",2003|2004|2007|2008|2009,3010|3011|3015,1001|1002
Bathurst Station,279538,149.5832161,-33.42562703,10101281,02 6334 8600,"Keppel St, Bathurst",2002|2003|2006|2007|2008|2009|2010|2012|2013,3001|3006|3011,1001|1010|1002|1005
Beecroft Station,211910,151.0662982,-33.74995417,10101197,02 9847 8421,"Wongala Cr, Beecroft",2001|2002|2003|2004|2005|2006|2015|2007|2008|2009|2011,3003|3008|3010|3011,1001|1002|1005
Bell Station,278620,150.2788861,-33.50568554,10101272,02 4787 8452,"Bells Line of Road, Bell",2004,3004|3010|3011|3016,1001
Bellambi Station,251810,150.9099025,-34.36331842,10101367,02 4223 5579,"Bellambi Lane, Bellambi",2003|2004|2006|2007|2008|2009,3004|3009|3010|3011|3017,1001|1002|1005
Belmore Station,219210,151.0887332,-33.91721798,10101397,02 9563 7578,"Burwood Rd, Belmore",2003|2004|2005|2006|2007|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Berala Station,214120,151.0324418,-33.87183567,10101390,02 9752 8813,"Woodburn Rd, Berala",2002|2004|2005|2006|2015|2007|2008,3003|3008|3009|3010|3011,1001|1002|1005
Beresfield Station,232230,151.6578627,-32.79894599,10101172,02 4962 9944,"Addison St, Beresfield",2003|2004|2006|2015|2007|2008|2010|2011,3001|3003|3005|3008|3009|3011,1001|1002|1005
Berowra Station,208110,151.1529711,-33.6236572,10101131,02 9847 8496,"Pacific Hwy, Berowra",2001|2002|2003|2004|2006|2015|2007|2008|2009|2010,3001|3003|3005|3006|3008|3009|3011|3017,1001|1002
Berry Station,253510,150.6969659,-34.78033267,10101388,02 4464 1022,"Station Rd, Berry",2002|2003|2004|2006|2007|2008|2009|2010,3001|3003|3004|3009|3011,1001|1002|1005
Beverly Hills Station,220910,151.0816922,-33.94884857,10101413,02 9563 7650,"Morgan St, Beverly Hills",2003|2004|2005|2006|2015|2007|2008|2011|2013,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Bexley North Station,220720,151.1133973,-33.93756601,10101411,02 9563 7613,"Kingsgrove Ave, Bexley North",2003|2004|2005|2006|2015|2007|2008,3003|3008|3010|3011,1001|1002
Birrong Station,214320,151.0240413,-33.8932786,10101403,02 9379 7727,"Rodd St, Birrong",2003|2004|2005|2006|2007|2008|2009|2011,3003|3008|3009|3010|3011,1001
